AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District
202,Rajpur,SHIVJI KUMAR,Janshakti Vikas Party (Democratic),1609,-79092,lost,211325,BUXAR,SC,803043
202,Rajpur,RAM LAL RAM,Independent,1387,-79314,lost,211325,BUXAR,SC,803043
202,Rajpur,BALESHWAR RAM,Rashtriya Jansambhavna Party,1017,-79684,lost,211325,BUXAR,SC,803043
202,Rajpur,BHIM RAM,Sarvjan Sanatan Party,971,-79730,lost,211325,BUXAR,SC,803043
202,Rajpur,NOTA,None of the Above,2778,-77923,,211325,BUXAR,SC,803043
203,Ramgarh,SATISH KUMAR SINGH YADAV,Bahujan Samaj Party,72689,30,won,194844,KAIMUR  (BHABHUA),GENERAL,807697
203,Ramgarh,ASHOK KUMAR SINGH,Bharatiya Janata Party,72659,-30,lost,194844,KAIMUR  (BHABHUA),GENERAL,807697
203,Ramgarh,AJIT KUMAR,Rashtriya Janata Dal,41480,-31209,lost,194844,KAIMUR  (BHABHUA),GENERAL,807697
203,Ramgarh,ANAND KUMAR SINGH,Jan Suraaj Party,4426,-68263,lost,194844,KAIMUR  (BHABHUA),GENERAL,807697
203,Ramgarh,GHURELAL RAJBHAR,Suheldev Bharatiya Samaj Party,1779,-70910,lost,194844,KAIMUR  (BHABHUA),GENERAL,807697
203,Ramgarh,RAMPRAVESH SINGH,Independent,657,-72032,lost,194844,KAIMUR  (BHABHUA),GENERAL,807697
203,Ramgarh,NOTA,None of the Above,1154,-71535,,194844,KAIMUR  (BHABHUA),GENERAL,807697
204,Mohania,SANGITA KUMARI,Bharatiya Janata Party,76290,18752,won,190815,KAIMUR  (BHABHUA),SC,807697
204,Mohania,RAVI SHANKAR PASWAN,Independent,57538,-18752,lost,190815,KAIMUR  (BHABHUA),SC,807697
204,Mohania,OMPRAKASH NARAYAN,Bahujan Samaj Party,32263,-44027,lost,190815,KAIMUR  (BHABHUA),SC,807697
204,Mohania,GITA DEVI,Jan Suraaj Party,14128,-62162,lost,190815,KAIMUR  (BHABHUA),SC,807697
204,Mohania,NITU KUMARI,Independent,2205,-74085,lost,190815,KAIMUR  (BHABHUA),SC,807697
204,Mohania,AJAY KUMAR,Independent,1138,-75152,lost,190815,KAIMUR  (BHABHUA),SC,807697
204,Mohania,KANHAIYA RAM,Jantantra Awaj Party,1106,-75184,lost,190815,KAIMUR  (BHABHUA),SC,807697
204,Mohania,RANJIT DOM,Aam Aadmi Party,1060,-75230,lost,190815,KAIMUR  (BHABHUA),SC,807697
204,Mohania,NITISH KUMAR,Asankhya Samaj Party,843,-75447,lost,190815,KAIMUR  (BHABHUA),SC,807697
204,Mohania,INDRAJIT RAM,Independent,568,-75722,lost,190815,KAIMUR  (BHABHUA),SC,807697
204,Mohania,BABUDHAN PASI,Rashtriya Jansambhavna Party,406,-75884,lost,190815,KAIMUR  (BHABHUA),SC,807697
204,Mohania,MUNNA KUMAR,Nationalist Congress Party,318,-75972,lost,190815,KAIMUR  (BHABHUA),SC,807697
204,Mohania,NOTA,None of the Above,2952,-73338,,190815,KAIMUR  (BHABHUA),SC,807697
205,Bhabua,BHARAT BIND,Bharatiya Janata Party,80039,24415,won,192958,KAIMUR  (BHABHUA),GENERAL,807697
205,Bhabua,BIRENDRA KUMAR SINGH,Rashtriya Janata Dal,55624,-24415,lost,192958,KAIMUR  (BHABHUA),GENERAL,807697
205,Bhabua,VIKASH SINGH,Bahujan Samaj Party,39711,-40328,lost,192958,KAIMUR  (BHABHUA),GENERAL,807697
205,Bhabua,JAINENDRA KUMAR ARYA,Jan Suraaj Party,6775,-73264,lost,192958,KAIMUR  (BHABHUA),GENERAL,807697
205,Bhabua,VIKASH KUMAR TIWARI,Rashtriya Lok Janshakti Party,6244,-73795,lost,192958,KAIMUR  (BHABHUA),GENERAL,807697
205,Bhabua,MOHAMMAD AMIRUDDIN ANSARI,Aam Aadmi Party,1138,-78901,lost,192958,KAIMUR  (BHABHUA),GENERAL,807697
205,Bhabua,SHISHUPAL SINGH,Independent,778,-79261,lost,192958,KAIMUR  (BHABHUA),GENERAL,807697
205,Bhabua,AJEET KUMAR PATEL,Independent,722,-79317,lost,192958,KAIMUR  (BHABHUA),GENERAL,807697
205,Bhabua,NOTA,None of the Above,1927,-78112,,192958,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,MD. ZAMA KHAN,Janata Dal (United),70876,8362,won,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,BRIJ KISHOR BIND,Rashtriya Janata Dal,62514,-8362,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,DHIRAJ KUMAR SINGH,Bahujan Samaj Party,51200,-19676,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,HEMANT KUMAR CHOUBEY,Jan Suraaj Party,6877,-63999,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,RAJA LAL SINGH,Bhagidari Party(P),5338,-65538,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,UTTAM PATEL,Independent,5302,-65574,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,GOVIND VIND,Vikassheel Insaan Party,5144,-65732,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,SUSHANK KUMAR SINGH,Suheldev Bharatiya Samaj Party,4900,-65976,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,MAJNU GOND,Aazad Samaj Party (Kanshi Ram),3252,-67624,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,RAM RAJ SHARMA,Aam Aadmi Party,1980,-68896,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,GOPAL VINDA,Independent,1747,-69129,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,AKASH RANJAN,Independent,1219,-69657,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,ANIL KUMAR SINGH,Jansatta Party of India,1155,-69721,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,MADHAW SINGH,Independent,1152,-69724,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,SUNIL SHARMA,Jagrook Janta Party,933,-69943,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,PRIYANKA,Independent,790,-70086,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,MAHENDRA PRASAD,Independent,779,-70097,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,SUNIL KUMAR,Sarvlokhit Samaj Party,666,-70210,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,ANUJ KUMAR DUBEY,Uday Bharatam Party,627,-70249,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,DINDAYAL SINGH KUSHAWAHA,Samata Party,445,-70431,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,SHRAVAN BIND,Independent,441,-70435,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,RAM EKABAL PRASAD,Independent,422,-70454,lost,229080,KAIMUR  (BHABHUA),GENERAL,807697
206,Chainpur,NOTA,None of the Above,1321,-69555,,229080,KAIMUR  (BHABHUA),GENERAL,807697
207,Chenari,MURARI PRASAD GAUTAM,Lok Janshakti Party (Ram Vilas),95579,21988,won,205793,ROHTAS,SC,1405134
207,Chenari,MANGAL RAM,Indian National Congress,73591,-21988,lost,205793,ROHTAS,SC,1405134
207,Chenari,NEHA KUMARI,Jan Suraaj Party,9404,-86175,lost,205793,ROHTAS,SC,1405134
207,Chenari,AMIT PASWAN,Aazad Samaj Party (Kanshi Ram),7536,-88043,lost,205793,ROHTAS,SC,1405134
207,Chenari,SUKHARI RAM,Independent,4266,-91313,lost,205793,ROHTAS,SC,1405134
207,Chenari,SWETA DEVI,Bahujan Samaj Party,3511,-92068,lost,205793,ROHTAS,SC,1405134
207,Chenari,HARE RAM RAM,Independent,2006,-93573,lost,205793,ROHTAS,SC,1405134
207,Chenari,ASHA  PASWAN,Rashtriya Lok Janshakti Party,1600,-93979,lost,205793,ROHTAS,SC,1405134
207,Chenari,PRAMHANSH KUMAR,Independent,1452,-94127,lost,205793,ROHTAS,SC,1405134
207,Chenari,NEHA KUMARI,Independent,1268,-94311,lost,205793,ROHTAS,SC,1405134
207,Chenari,PANKAJ KUMAR,Independent,1064,-94515,lost,205793,ROHTAS,SC,1405134
207,Chenari,SALONI DEVI OMPRAKASH RAM,Republican Party of India (A),814,-94765,lost,205793,ROHTAS,SC,1405134
207,Chenari,SUNIL RAM,Rashtriya Jansambhavna Party,623,-94956,lost,205793,ROHTAS,SC,1405134
207,Chenari,BHJURAM,Rashtriya Samanta Dal,433,-95146,lost,205793,ROHTAS,SC,1405134
207,Chenari,RAVISHANKAR PARASAD,Lohiya Janta Dal,318,-95261,lost,205793,ROHTAS,SC,1405134
207,Chenari,NOTA,None of the Above,2328,-93251,,205793,ROHTAS,SC,1405134
208,Sasaram,SNEHLATA,Rashtriya Lok Morcha,105006,25443,won,221091,ROHTAS,GENERAL,1405134
208,Sasaram,SATENDRA SAH,Rashtriya Janata Dal,79563,-25443,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,ASHOK KUMAR,Bahujan Samaj Party,10261,-94745,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,BINAY KUMAR SINGH,Jan Suraaj Party,6495,-98511,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,MD SHAHZAD HUSSAIN,Aazad Samaj Party (Kanshi Ram),3517,-101489,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,REKHA DEVI,Suheldev Bharatiya Samaj Party,2918,-102088,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,VIVEK KUMAR,Independent,2788,-102218,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,ARMAN AHMAD KHAN,Aam Aadmi Party,1067,-103939,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,KUMARI ARCHANA GUPTA,Independent,1027,-103979,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,DHANJIT SHARMA,Jagrook Janta Party,1017,-103989,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,GEETA DEVI,Independent,876,-104130,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,BIMAL KANT DUBEY,Independent,860,-104146,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,ASHUTOSH SINGH,Nationalist Congress Party,708,-104298,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,JAKIR HUSAIN,Independent,658,-104348,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,ANAND KUMAR GUPTA,Independent,603,-104403,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,YASH RAJ SINGH,Jai Hind Force,600,-104406,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,OMJEET KUMAR,Independent,521,-104485,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,NIRANJAN KUMAR,Independent,371,-104635,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,LAL MATI DEVI,Independent,347,-104659,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,KRISHNA KUMAR SINGH,Independent,346,-104660,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,RAMAYAN PASWAN,Independent,327,-104679,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,ARIF ISAIN HUSSAIN,Independent,254,-104752,lost,221091,ROHTAS,GENERAL,1405134
208,Sasaram,NOTA,None of the Above,961,-104045,,221091,ROHTAS,GENERAL,1405134
209,Kargahar,BASHISTH SINGH,Janata Dal (United),92485,35676,won,219564,ROHTAS,GENERAL,1405134
209,Kargahar,UDAY PRATAP SINGH,Bahujan Samaj Party,56809,-35676,lost,219564,ROHTAS,GENERAL,1405134
209,Kargahar,SANTOSH KUMAR MISHRA,Indian National Congress,39333,-53152,lost,219564,ROHTAS,GENERAL,1405134
209,Kargahar,RITESH RANJAN,Jan Suraaj Party,16298,-76187,lost,219564,ROHTAS,GENERAL,1405134
209,Kargahar,SHIV KUMAR SINGH,Independent,3097,-89388,lost,219564,ROHTAS,GENERAL,1405134
209,Kargahar,GOVARDHAN SINGH,Independent,2499,-89986,lost,219564,ROHTAS,GENERAL,1405134
209,Kargahar,MAHENDRA PRASAD GUPTA,Communist Party of India,2362,-90123,lost,219564,ROHTAS,GENERAL,1405134
209,Kargahar,RAMSUNDAR PAL,Independent,1190,-91295,lost,219564,ROHTAS,GENERAL,1405134
209,Kargahar,MANTU KUMAR,Lok Shakti Party (Loktantrik),792,-91693,lost,219564,ROHTAS,GENERAL,1405134
209,Kargahar,AMIT KUMAR,Rashtriya Sanatan Party,760,-91725,lost,219564,ROHTAS,GENERAL,1405134
209,Kargahar,DEEPAK KUMAR,Independent,468,-92017,lost,219564,ROHTAS,GENERAL,1405134
209,Kargahar,RAMESAR NONIYA,Rashtriya Jansambhavna Party,458,-92027,lost,219564,ROHTAS,GENERAL,1405134
209,Kargahar,NOTA,None of the Above,3013,-89472,,219564,ROHTAS,GENERAL,1405134
210,Dinara,ALOK KUMAR SINGH,Rashtriya Lok Morcha,78338,10834,won,187064,ROHTAS,GENERAL,1405134
210,Dinara,SHASHI SHANKAR KUMAR ALIAS RAJESH YADAV,Rashtriya Janata Dal,67504,-10834,lost,187064,ROHTAS,GENERAL,1405134
210,Dinara,JAI KUMAR SINGH,Independent,17839,-60499,lost,187064,ROHTAS,GENERAL,1405134
210,Dinara,MALTI DEVI,Bahujan Samaj Party,8382,-69956,lost,187064,ROHTAS,GENERAL,1405134
210,Dinara,SANJAY KUMAR,Jan Suraaj Party,6406,-71932,lost,187064,ROHTAS,GENERAL,1405134
210,Dinara,RAMA KANT RAM,Independent,1422,-76916,lost,187064,ROHTAS,GENERAL,1405134
210,Dinara,MUNNA SINGH,Independent,1417,-76921,lost,187064,ROHTAS,GENERAL,1405134
210,Dinara,ANIL KUMAR SINGH,Lohiya Janta Dal,1140,-77198,lost,187064,ROHTAS,GENERAL,1405134
210,Dinara,BHUPESH SINGH,Rashtriya Lok Janshakti Party,899,-77439,lost,187064,ROHTAS,GENERAL,1405134
210,Dinara,MANOJ KUMAR SINGH,Nationalist Congress Party,781,-77557,lost,187064,ROHTAS,GENERAL,1405134
210,Dinara,NIRANJAN KUMAR RAY,Independent,681,-77657,lost,187064,ROHTAS,GENERAL,1405134
210,Dinara,ABHISHEK RANJAN,Independent,624,-77714,lost,187064,ROHTAS,GENERAL,1405134
210,Dinara,NOTA,None of the Above,1631,-76707,,187064,ROHTAS,GENERAL,1405134
211,Nokha,NAGENDRA CHANDRAVANSHI,Janata Dal (United),93193,24054,won,182315,ROHTAS,GENERAL,1405134
211,Nokha,ANITA DEVI,Rashtriya Janata Dal,69139,-24054,lost,182315,ROHTAS,GENERAL,1405134
211,Nokha,NASRULLAH KHAN,Jan Suraaj Party,4831,-88362,lost,182315,ROHTAS,GENERAL,1405134
211,Nokha,SUNITA KUMARI,Bahujan Samaj Party,4373,-88820,lost,182315,ROHTAS,GENERAL,1405134
211,Nokha,SARVESHWAR TIWARY,Independent,2753,-90440,lost,182315,ROHTAS,GENERAL,1405134
211,Nokha,DHANANJAY PASWAN,Suheldev Bharatiya Samaj Party,1381,-91812,lost,182315,ROHTAS,GENERAL,1405134
211,Nokha,ARVIND KUMAR,Bhartiya Lok Chetna Party,1307,-91886,lost,182315,ROHTAS,GENERAL,1405134
211,Nokha,SANTOSH KUMAR SINGH,Rashtriya Jansambhavna Party,799,-92394,lost,182315,ROHTAS,GENERAL,1405134
211,Nokha,RANJAN KUMAR CHAUDHARY,Bharateeya Manavadhikar party,430,-92763,lost,182315,ROHTAS,GENERAL,1405134
211,Nokha,AJEET KUMAR SINGH,Peoples Party of India (Democratic),368,-92825,lost,182315,ROHTAS,GENERAL,1405134
211,Nokha,ASHOK KUMAR SINGH,Lohiya Janta Dal,341,-92852,lost,182315,ROHTAS,GENERAL,1405134
211,Nokha,NOTA,None of the Above,3400,-89793,,182315,ROHTAS,GENERAL,1405134
212,Dehri,RAJEEV RANJAN SINGH,Lok Janshakti Party (Ram Vilas),104022,35968,won,191592,ROHTAS,GENERAL,1405134
212,Dehri,GUDDU KUMAR CHANDRAWANSI,Rashtriya Janata Dal,68054,-35968,lost,191592,ROHTAS,GENERAL,1405134
212,Dehri,PHATE BAHADUR SINGH,Aazad Samaj Party (Kanshi Ram),7003,-97019,lost,191592,ROHTAS,GENERAL,1405134
212,Dehri,PRADEEP LALLAN SINGH,Jan Suraaj Party,4323,-99699,lost,191592,ROHTAS,GENERAL,1405134
212,Dehri,SAROJ KUMAR SINGH,Independent,1806,-102216,lost,191592,ROHTAS,GENERAL,1405134
212,Dehri,PRADIP KUMAR JOSHI,Rashtra Sewa Dal,1762,-102260,lost,191592,ROHTAS,GENERAL,1405134
212,Dehri,RANJAN KUMAR,Independent,724,-103298,lost,191592,ROHTAS,GENERAL,1405134
212,Dehri,MD. EKRAM ANSARI,Independent,570,-103452,lost,191592,ROHTAS,GENERAL,1405134
212,Dehri,SAMEER KUMAR,Independent,565,-103457,lost,191592,ROHTAS,GENERAL,1405134
212,Dehri,INDRA RAJ ROUSHAN,Independent,358,-103664,lost,191592,ROHTAS,GENERAL,1405134
212,Dehri,NOTA,None of the Above,2405,-101617,,191592,ROHTAS,GENERAL,1405134
213,Karakat,ARUN SINGH (VILL-AJNAP TOLA),Communist Party of India (Marxist-Leninist) (Liberation),74157,2836,won,197715,ROHTAS,GENERAL,1405134
213,Karakat,MAHABALI SINGH,Janata Dal (United),71321,-2836,lost,197715,ROHTAS,GENERAL,1405134
213,Karakat,JYOTI SINGH,Independent,23469,-50688,lost,197715,ROHTAS,GENERAL,1405134
213,Karakat,YOGENDRA SINGH,Jan Suraaj Party,7503,-66654,lost,197715,ROHTAS,GENERAL,1405134
213,Karakat,BANDANA RAJ,Bahujan Samaj Party,7377,-66780,lost,197715,ROHTAS,GENERAL,1405134
213,Karakat,BANSHIDHAR SINGH,Independent,3019,-71138,lost,197715,ROHTAS,GENERAL,1405134
213,Karakat,MANTU CHOUDHARY,Independent,1206,-72951,lost,197715,ROHTAS,GENERAL,1405134
213,Karakat,MD. IRSHAD KHAN,Lohiya Janta Dal,995,-73162,lost,197715,ROHTAS,GENERAL,1405134
213,Karakat,AMIT KUMAR MISHRA,Independent,667,-73490,lost,197715,ROHTAS,GENERAL,1405134
213,Karakat,ARUN SINGH (VILL-KURUR),Independent,600,-73557,lost,197715,ROHTAS,GENERAL,1405134
213,Karakat,AYODHYA RAM,Independent,587,-73570,lost,197715,ROHTAS,GENERAL,1405134
213,Karakat,NIRMAL SHARMA,Jagrook Janta Party,553,-73604,lost,197715,ROHTAS,GENERAL,1405134
213,Karakat,AMIT UPADHAYAY,Independent,496,-73661,lost,197715,ROHTAS,GENERAL,1405134
213,Karakat,NOTA,None of the Above,5765,-68392,,197715,ROHTAS,GENERAL,1405134
214,Arwal,MANOJ KUMAR,Bharatiya Janata Party,79854,14093,won,171135,ARWAL,GENERAL,337002
214,Arwal,MAHANAND SINGH,Communist Party of India (Marxist-Leninist) (Liberation),65761,-14093,lost,171135,ARWAL,GENERAL,337002
214,Arwal,VEERENDRA PRASAD,Independent,3879,-75975,lost,171135,ARWAL,GENERAL,337002
214,Arwal,SHEKHAR RAM,Bahujan Samaj Party,3719,-76135,lost,171135,ARWAL,GENERAL,337002
214,Arwal,KUNTI DEVI,Jan Suraaj Party,3376,-76478,lost,171135,ARWAL,GENERAL,337002
214,Arwal,PANCHAM KUMAR,Suheldev Bharatiya Samaj Party,3176,-76678,lost,171135,ARWAL,GENERAL,337002
214,Arwal,SATYENDRA PRASAD SHARMA,Independent,2726,-77128,lost,171135,ARWAL,GENERAL,337002
214,Arwal,DIVYA BHARTI,Rashtriya Lok Janshakti Party,1724,-78130,lost,171135,ARWAL,GENERAL,337002
214,Arwal,AMITESH KUMAR,Independent,1617,-78237,lost,171135,ARWAL,GENERAL,337002
214,Arwal,MANOJ KUMAR SANTOSH,Independent,1439,-78415,lost,171135,ARWAL,GENERAL,337002
214,Arwal,ARUN KUMAR,Janshakti Janta Dal,804,-79050,lost,171135,ARWAL,GENERAL,337002
214,Arwal,CHANDRA SHEKHAR YADAV,Independent,566,-79288,lost,171135,ARWAL,GENERAL,337002
214,Arwal,KAJAL DEVI,Independent,436,-79418,lost,171135,ARWAL,GENERAL,337002
214,Arwal,VIKASH KUMAR,Desh Janhit Party,343,-79511,lost,171135,ARWAL,GENERAL,337002
214,Arwal,MANSUR ALAM,Aam Janta Pragati Party,264,-79590,lost,171135,ARWAL,GENERAL,337002
214,Arwal,NOTA,None of the Above,1451,-78403,,171135,ARWAL,GENERAL,337002
215,Kurtha,PAPPU KUMAR VERMA,Janata Dal (United),74466,5481,won,165867,ARWAL,GENERAL,337002
215,Kurtha,KUMAR KRISHNA MOHAN URF SUDAY YADAV,Rashtriya Janata Dal,68985,-5481,lost,165867,ARWAL,GENERAL,337002
215,Kurtha,RAMBALI SINGH,Jan Suraaj Party,5030,-69436,lost,165867,ARWAL,GENERAL,337002
215,Kurtha,ASHOK KUMAR,Bahujan Samaj Party,3338,-71128,lost,165867,ARWAL,GENERAL,337002
215,Kurtha,BUDDHADEV SAV,Independent,2327,-72139,lost,165867,ARWAL,GENERAL,337002
215,Kurtha,RAUSHAN KUMAR,Independent,1642,-72824,lost,165867,ARWAL,GENERAL,337002
215,Kurtha,VINOD KUMAR,Independent,1464,-73002,lost,165867,ARWAL,GENERAL,337002
215,Kurtha,UMA SHANKAR SHARAN,Aam Aadmi Party,1444,-73022,lost,165867,ARWAL,GENERAL,337002
215,Kurtha,ARUN KUMAR ALIAS ARUN KUSHWAHA,Rashtriya Lok Samta Party,1428,-73038,lost,165867,ARWAL,GENERAL,337002
215,Kurtha,VIKASH KUMAR,Independent,1353,-73113,lost,165867,ARWAL,GENERAL,337002
215,Kurtha,NIRAJ KUMAR,Independent,1201,-73265,lost,165867,ARWAL,GENERAL,337002
215,Kurtha,RUPESH KUMAR,Socialist Unity Centre Of India (COMMUNIST),930,-73536,lost,165867,ARWAL,GENERAL,337002
215,Kurtha,AVINASH KUMAR,Independent,476,-73990,lost,165867,ARWAL,GENERAL,337002
215,Kurtha,NOTA,None of the Above,1783,-72683,,165867,ARWAL,GENERAL,337002
216,Jehanabad,RAHUL KUMAR,Rashtriya Janata Dal,86402,793,won,193541,JAHANABAD,GENERAL,531532
216,Jehanabad,CHANDESHWAR PRASAD,Janata Dal (United),85609,-793,lost,193541,JAHANABAD,GENERAL,531532
216,Jehanabad,ABHIRAM SINGH,Jan Suraaj Party,5760,-80642,lost,193541,JAHANABAD,GENERAL,531532
216,Jehanabad,RITESH KUMAR,Independent,4330,-82072,lost,193541,JAHANABAD,GENERAL,531532
216,Jehanabad,BABLU KUMAR,Independent,1274,-85128,lost,193541,JAHANABAD,GENERAL,531532
216,Jehanabad,BALESHWAR SINGH,Aam Aadmi Party,1175,-85227,lost,193541,JAHANABAD,GENERAL,531532
216,Jehanabad,SIDDHANATH KUMAR,Kisan Sangharsh Samiti,1151,-85251,lost,193541,JAHANABAD,GENERAL,531532
216,Jehanabad,RAJU KUMAR,Socialist Unity Centre Of India (COMMUNIST),932,-85470,lost,193541,JAHANABAD,GENERAL,531532
216,Jehanabad,PRAMOD YADAV,Rashtriya Lok Janshakti Party,927,-85475,lost,193541,JAHANABAD,GENERAL,531532
216,Jehanabad,NITISH KUMAR,Bhagidari Party(P),905,-85497,lost,193541,JAHANABAD,GENERAL,531532
216,Jehanabad,RAMBHA KUMARI,Samajwadi Lok Parishad,499,-85903,lost,193541,JAHANABAD,GENERAL,531532
216,Jehanabad,NOTA,None of the Above,4577,-81825,,193541,JAHANABAD,GENERAL,531532
217,Ghosi,RITURAJ KUMAR,Janata Dal (United),80740,11929,won,171592,JAHANABAD,GENERAL,531532
217,Ghosi,RAMBALI SINGH YADAV,Communist Party of India (Marxist-Leninist) (Liberation),68811,-11929,lost,171592,JAHANABAD,GENERAL,531532
217,Ghosi,ANURADHA SINHA,Bahujan Samaj Party,3715,-77025,lost,171592,JAHANABAD,GENERAL,531532
217,Ghosi,WASIF HUSNAIN,Independent,3493,-77247,lost,171592,JAHANABAD,GENERAL,531532
217,Ghosi,SATYENDRA PRASAD YADAV,Independent,3073,-77667,lost,171592,JAHANABAD,GENERAL,531532
217,Ghosi,PRABHAT KUMAR,Jan Suraaj Party,3070,-77670,lost,171592,JAHANABAD,GENERAL,531532
217,Ghosi,RAJESH RANJAN,Independent,1931,-78809,lost,171592,JAHANABAD,GENERAL,531532
217,Ghosi,INDU KUMARI,Socialist Unity Centre Of India (COMMUNIST),1842,-78898,lost,171592,JAHANABAD,GENERAL,531532
217,Ghosi,RAKESH ROUSHAN,Aam Janta Party Rashtriya,836,-79904,lost,171592,JAHANABAD,GENERAL,531532
217,Ghosi,VIJAY SHARMA,Bhartiya Sarthak Party,567,-80173,lost,171592,JAHANABAD,GENERAL,531532
217,Ghosi,SARYU PRASAD SINGH,Kisan Sangharsh Samiti,441,-80299,lost,171592,JAHANABAD,GENERAL,531532
217,Ghosi,NOTA,None of the Above,3073,-77667,,171592,JAHANABAD,GENERAL,531532
218,Makhdumpur,SUBEDAR DAS,Rashtriya Janata Dal,74769,1830,won,166399,JAHANABAD,SC,531532
218,Makhdumpur,RANI KUMARI,Lok Janshakti Party (Ram Vilas),72939,-1830,lost,166399,JAHANABAD,SC,531532
218,Makhdumpur,SHANKAR SWARUP,Jan Suraaj Party,4803,-69966,lost,166399,JAHANABAD,SC,531532
218,Makhdumpur,SUDHIR CHOUDHARY,Bahujan Samaj Party,3517,-71252,lost,166399,JAHANABAD,SC,531532
218,Makhdumpur,SHAILENDRA CHAUDHARI,Independent,2757,-72012,lost,166399,JAHANABAD,SC,531532
218,Makhdumpur,CHHOTELAL PASWAN,Rashtriya Lok Janshakti Party,1733,-73036,lost,166399,JAHANABAD,SC,531532
218,Makhdumpur,MINTA DEVI,Independent,1184,-73585,lost,166399,JAHANABAD,SC,531532
218,Makhdumpur,DINESH PASWAN,Kisan Sangharsh Samiti,1145,-73624,lost,166399,JAHANABAD,SC,531532
218,Makhdumpur,PREM KISHOR PASWAN,Bhartiya Lok Chetna Party,792,-73977,lost,166399,JAHANABAD,SC,531532
218,Makhdumpur,NOTA,None of the Above,2760,-72009,,166399,JAHANABAD,SC,531532
219,Goh,AMRENDRA KUMAR,Rashtriya Janata Dal,93624,4041,won,211669,AURANGABAD,GENERAL,1205034
219,Goh,DR. RANVIJAY KUMAR,Bharatiya Janata Party,89583,-4041,lost,211669,AURANGABAD,GENERAL,1205034
219,Goh,SITARAM DUKHARI,Jan Suraaj Party,7996,-85628,lost,211669,AURANGABAD,GENERAL,1205034
219,Goh,MD EKLAKHA,Aazad Samaj Party (Kanshi Ram),6631,-86993,lost,211669,AURANGABAD,GENERAL,1205034
219,Goh,SHIV SHANKER SINGH,Independent,3115,-90509,lost,211669,AURANGABAD,GENERAL,1205034
219,Goh,SANJAY PRASAD ALIAS ER. SANJAY PRASAD KUSHWAHA,Bahujan Samaj Party,1946,-91678,lost,211669,AURANGABAD,GENERAL,1205034
219,Goh,SONU KUMAR,Jagrook Janta Party,1371,-92253,lost,211669,AURANGABAD,GENERAL,1205034
219,Goh,RAJEEV RANJAN,Independent,922,-92702,lost,211669,AURANGABAD,GENERAL,1205034
219,Goh,AMIT KUMAR,Independent,893,-92731,lost,211669,AURANGABAD,GENERAL,1205034
