AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District
13,Harsidhi,RAJENDRA PASWAN,Independent,2100,-94764,lost,202899,PURVI  CHAMPARAN,SC,2474209
13,Harsidhi,JAGDISH RAM,Independent,800,-96064,lost,202899,PURVI  CHAMPARAN,SC,2474209
13,Harsidhi,RAVI KANT RAVI,Kisan Suraj Dal,652,-96212,lost,202899,PURVI  CHAMPARAN,SC,2474209
13,Harsidhi,NOTA,None of the Above,3146,-93718,,202899,PURVI  CHAMPARAN,SC,2474209
14,Govindganj,RAJU TIWARI,Lok Janshakti Party (Ram Vilas),96034,32683,won,182741,PURVI  CHAMPARAN,GENERAL,2474209
14,Govindganj,SHASHI BHUSHAN RAI ALIAS GAPPU RAI,Indian National Congress,63351,-32683,lost,182741,PURVI  CHAMPARAN,GENERAL,2474209
14,Govindganj,KRISHNA KANT MISHRA,Jan Suraaj Party,9830,-86204,lost,182741,PURVI  CHAMPARAN,GENERAL,2474209
14,Govindganj,NITESH KUMAR SHRIVASTAVA,The Plurals Party,3770,-92264,lost,182741,PURVI  CHAMPARAN,GENERAL,2474209
14,Govindganj,ASHUTOSH KUMAR,Janshakti Janta Dal,3471,-92563,lost,182741,PURVI  CHAMPARAN,GENERAL,2474209
14,Govindganj,AJEET KUMAR RAM,Bahujan Samaj Party,1815,-94219,lost,182741,PURVI  CHAMPARAN,GENERAL,2474209
14,Govindganj,ASHOK KUMAR SINGH,Aam Aadmi Party,929,-95105,lost,182741,PURVI  CHAMPARAN,GENERAL,2474209
14,Govindganj,RAHUL KUMAR PRIYADARSHY,Akhand Bhartiya Yuva Party,630,-95404,lost,182741,PURVI  CHAMPARAN,GENERAL,2474209
14,Govindganj,NOTA,None of the Above,2911,-93123,,182741,PURVI  CHAMPARAN,GENERAL,2474209
15,Kesaria,SHALINI MISHRA,Janata Dal (United),78192,16340,won,176683,PURVI  CHAMPARAN,GENERAL,2474209
15,Kesaria,VARUN VIJAY,Vikassheel Insaan Party,61852,-16340,lost,176683,PURVI  CHAMPARAN,GENERAL,2474209
