AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District,Margin_Bucket,<500,0.5-2K,2_10K,10_25K,25_50K,50K_plus,Multi_Cornered_Count
113,Ekma,MANORANJAN SINGH,Janata Dal (United),84077,22708,won,171043,SARAN,GENERAL,1865205.0,10-25K,0,0,0,1,0,0,2
114,Manjhi,RANDHIR KUMAR SINGH,Janata Dal (United),68455,9787,won,177676,SARAN,GENERAL,1865205.0,2-10K,0,0,1,0,0,0,3
115,Baniapur,KEDAR NATH SINGH,Bharatiya Janata Party,95606,15436,won,200418,SARAN,GENERAL,1865205.0,10-25K,0,0,0,1,0,0,2
116,Taraiya,JANAK SINGH,Bharatiya Janata Party,85564,1329,won,193538,SARAN,GENERAL,1865205.0,0.5-2K,0,1,0,0,0,0,2
117,Marhaura,JITENDRA KUMAR RAI,Rashtriya Janata Dal,86118,27928,won,179508,SARAN,GENERAL,1865205.0,25-50K,0,0,0,0,1,0,2
118,Chapra,CHHOTI KUMARI,Bharatiya Janata Party,86845,7600,won,189389,SARAN,GENERAL,1865205.0,2-10K,0,0,1,0,0,0,2
119,Garkha,SURENDRA RAM,Rashtriya Janata Dal,91134,12804,won,203497,SARAN,SC,1865205.0,10-25K,0,0,0,1,0,0,2
120,Amnour,KRISHAN KUMAR MANTOO,Bharatiya Janata Party,75525,3808,won,169661,SARAN,GENERAL,1865205.0,2-10K,0,0,1,0,0,0,2
121,Parsa,KARISHMA,Rashtriya Janata Dal,89093,25772,won,181235,SARAN,GENERAL,1865205.0,25-50K,0,0,0,0,1,0,2
122,Sonepur,VINAY KUMAR SINGH,Bharatiya Janata Party,90842,4767,won,199240,SARAN,GENERAL,1865205.0,2-10K,0,0,1,0,0,0,2
123,Hajipur,AWADHESH SINGH,Bharatiya Janata Party,113221,18509,won,225242,VAISHALI,GENERAL,1748252.0,10-25K,0,0,0,1,0,0,2
124,Lalganj,SANJAY KUMAR SINGH,Bharatiya Janata Party,127650,32167,won,240205,VAISHALI,GENERAL,1748252.0,25-50K,0,0,0,0,1,0,2
125,Vaishali,SIDDHARTH PATEL,Janata Dal (United),108377,32590,won,237684,VAISHALI,GENERAL,1748252.0,25-50K,0,0,0,0,1,0,2
126,Mahua,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),87641,44997,won,211328,VAISHALI,GENERAL,1748252.0,25-50K,0,0,0,0,1,0,3
127,Raja Pakar,MAHENDRA RAM,Janata Dal (United),96258,48189,won,184018,VAISHALI,SC,1748252.0,25-50K,0,0,0,0,1,0,2
128,Raghopur,TEJASHWI PRASAD YADAV,Rashtriya Janata Dal,118597,14532,won,238448,VAISHALI,GENERAL,1748252.0,10-25K,0,0,0,1,0,0,2
129,Mahnar,UMESH SINGH KUSHWAHA,Janata Dal (United),98050,38558,won,201787,VAISHALI,GENERAL,1748252.0,25-50K,0,0,0,0,1,0,2
